"altersgruppe";"freq";"date"
"55-64";475;2020-03-22 01:45:00
">64";510;2020-03-22 01:45:00
"<5";6;2020-03-22 02:00:00
"5-14";35;2020-03-22 02:00:00
"15-24";309;2020-03-22 02:00:00
"25-34";515;2020-03-22 02:00:00
"35-44";482;2020-03-22 02:00:00
"45-54";689;2020-03-22 02:00:00
"55-64";475;2020-03-22 02:00:00
">64";510;2020-03-22 02:00:00
"<5";6;2020-03-22 02:15:00
"5-14";35;2020-03-22 02:15:00
"15-24";309;2020-03-22 02:15:00
"25-34";515;2020-03-22 02:15:00
"35-44";482;2020-03-22 02:15:00
"45-54";689;2020-03-22 02:15:00
"55-64";475;2020-03-22 02:15:00
">64";510;2020-03-22 02:15:00
"<5";6;2020-03-22 02:30:00
"5-14";35;2020-03-22 02:30:00
"15-24";309;2020-03-22 02:30:00
"25-34";515;2020-03-22 02:30:00
"35-44";482;2020-03-22 02:30:00
"45-54";689;2020-03-22 02:30:00
"55-64";475;2020-03-22 02:30:00
">64";510;2020-03-22 02:30:00
"<5";6;2020-03-22 02:45:00
"5-14";35;2020-03-22 02:45:00
"15-24";309;2020-03-22 02:45:00
"25-34";515;2020-03-22 02:45:00
"35-44";482;2020-03-22 02:45:00
"45-54";689;2020-03-22 02:45:00
"55-64";475;2020-03-22 02:45:00
">64";510;2020-03-22 02:45:00
"<5";6;2020-03-22 03:00:00
"5-14";35;2020-03-22 03:00:00
"15-24";309;2020-03-22 03:00:00
"25-34";515;2020-03-22 03:00:00
"35-44";482;2020-03-22 03:00:00
"45-54";689;2020-03-22 03:00:00
"55-64";475;2020-03-22 03:00:00
">64";510;2020-03-22 03:00:00
"<5";6;2020-03-22 03:15:00
"5-14";35;2020-03-22 03:15:00
"15-24";309;2020-03-22 03:15:00
"25-34";515;2020-03-22 03:15:00
"35-44";482;2020-03-22 03:15:00
"45-54";689;2020-03-22 03:15:00
"55-64";475;2020-03-22 03:15:00
">64";510;2020-03-22 03:15:00
"<5";6;2020-03-22 03:30:00
"5-14";35;2020-03-22 03:30:00
"15-24";309;2020-03-22 03:30:00
"25-34";515;2020-03-22 03:30:00
"35-44";482;2020-03-22 03:30:00
"45-54";690;2020-03-22 03:30:00
"55-64";475;2020-03-22 03:30:00
">64";512;2020-03-22 03:30:00
"<5";6;2020-03-22 03:45:00
"5-14";35;2020-03-22 03:45:00
"15-24";309;2020-03-22 03:45:00
"25-34";515;2020-03-22 03:45:00
"35-44";482;2020-03-22 03:45:00
"45-54";690;2020-03-22 03:45:00
"55-64";475;2020-03-22 03:45:00
">64";512;2020-03-22 03:45:00
"<5";6;2020-03-22 04:00:00
"5-14";35;2020-03-22 04:00:00
"15-24";309;2020-03-22 04:00:00
"25-34";515;2020-03-22 04:00:00
"35-44";482;2020-03-22 04:00:00
"45-54";690;2020-03-22 04:00:00
"55-64";475;2020-03-22 04:00:00
">64";512;2020-03-22 04:00:00
"<5";6;2020-03-22 04:15:00
"5-14";35;2020-03-22 04:15:00
"15-24";309;2020-03-22 04:15:00
"25-34";515;2020-03-22 04:15:00
"35-44";482;2020-03-22 04:15:00
"45-54";690;2020-03-22 04:15:00
"55-64";475;2020-03-22 04:15:00
">64";512;2020-03-22 04:15:00
"<5";6;2020-03-22 04:30:00
"5-14";35;2020-03-22 04:30:00
"15-24";309;2020-03-22 04:30:00
"25-34";515;2020-03-22 04:30:00
"35-44";482;2020-03-22 04:30:00
"45-54";690;2020-03-22 04:30:00
"55-64";475;2020-03-22 04:30:00
">64";512;2020-03-22 04:30:00
"<5";6;2020-03-22 04:45:00
"5-14";35;2020-03-22 04:45:00
"15-24";309;2020-03-22 04:45:00
"25-34";515;2020-03-22 04:45:00
"35-44";482;2020-03-22 04:45:00
"45-54";690;2020-03-22 04:45:00
"55-64";475;2020-03-22 04:45:00
">64";512;2020-03-22 04:45:00
"<5";6;2020-03-22 05:00:00
"5-14";35;2020-03-22 05:00:00
"15-24";309;2020-03-22 05:00:00
"25-34";515;2020-03-22 05:00:00
"35-44";482;2020-03-22 05:00:00
"45-54";690;2020-03-22 05:00:00
"55-64";475;2020-03-22 05:00:00
">64";512;2020-03-22 05:00:00
"<5";6;2020-03-22 05:15:00
"5-14";35;2020-03-22 05:15:00
"15-24";309;2020-03-22 05:15:00
"25-34";515;2020-03-22 05:15:00
"35-44";482;2020-03-22 05:15:00
"45-54";690;2020-03-22 05:15:00
"55-64";475;2020-03-22 05:15:00
">64";512;2020-03-22 05:15:00
"<5";6;2020-03-22 05:30:00
"5-14";35;2020-03-22 05:30:00
