"bundesland";"freq";"date"
"Bgld";54;2020-03-22 02:45:00
"Ktn";98;2020-03-22 02:45:00
"NÖ";422;2020-03-22 02:45:00
"OÖ";606;2020-03-22 02:45:00
"Sbg";209;2020-03-22 02:45:00
"Stmk";393;2020-03-22 02:45:00
"T";626;2020-03-22 02:45:00
"Vbg";249;2020-03-22 02:45:00
"W";364;2020-03-22 02:45:00
"Bgld";54;2020-03-22 03:00:00
"Ktn";98;2020-03-22 03:00:00
"NÖ";422;2020-03-22 03:00:00
"OÖ";606;2020-03-22 03:00:00
"Sbg";209;2020-03-22 03:00:00
"Stmk";393;2020-03-22 03:00:00
"T";626;2020-03-22 03:00:00
"Vbg";249;2020-03-22 03:00:00
"W";364;2020-03-22 03:00:00
"Bgld";54;2020-03-22 03:15:00
"Ktn";98;2020-03-22 03:15:00
"NÖ";422;2020-03-22 03:15:00
"OÖ";606;2020-03-22 03:15:00
"Sbg";209;2020-03-22 03:15:00
"Stmk";393;2020-03-22 03:15:00
"T";626;2020-03-22 03:15:00
"Vbg";249;2020-03-22 03:15:00
"W";364;2020-03-22 03:15:00
"Bgld";54;2020-03-22 03:30:00
"Ktn";98;2020-03-22 03:30:00
"NÖ";422;2020-03-22 03:30:00
"OÖ";606;2020-03-22 03:30:00
"Sbg";209;2020-03-22 03:30:00
"Stmk";393;2020-03-22 03:30:00
"T";626;2020-03-22 03:30:00
"Vbg";249;2020-03-22 03:30:00
"W";367;2020-03-22 03:30:00
"Bgld";54;2020-03-22 03:45:00
"Ktn";98;2020-03-22 03:45:00
"NÖ";422;2020-03-22 03:45:00
"OÖ";606;2020-03-22 03:45:00
"Sbg";209;2020-03-22 03:45:00
"Stmk";393;2020-03-22 03:45:00
"T";626;2020-03-22 03:45:00
"Vbg";249;2020-03-22 03:45:00
"W";367;2020-03-22 03:45:00
"Bgld";54;2020-03-22 04:00:00
"Ktn";98;2020-03-22 04:00:00
"NÖ";422;2020-03-22 04:00:00
"OÖ";606;2020-03-22 04:00:00
"Sbg";209;2020-03-22 04:00:00
"Stmk";393;2020-03-22 04:00:00
"T";626;2020-03-22 04:00:00
"Vbg";249;2020-03-22 04:00:00
"W";367;2020-03-22 04:00:00
"Bgld";54;2020-03-22 04:15:00
"Ktn";98;2020-03-22 04:15:00
"NÖ";422;2020-03-22 04:15:00
"OÖ";606;2020-03-22 04:15:00
"Sbg";209;2020-03-22 04:15:00
"Stmk";393;2020-03-22 04:15:00
"T";626;2020-03-22 04:15:00
"Vbg";249;2020-03-22 04:15:00
"W";367;2020-03-22 04:15:00
"Bgld";54;2020-03-22 04:30:00
"Ktn";98;2020-03-22 04:30:00
"NÖ";422;2020-03-22 04:30:00
"OÖ";606;2020-03-22 04:30:00
"Sbg";209;2020-03-22 04:30:00
"Stmk";393;2020-03-22 04:30:00
"T";626;2020-03-22 04:30:00
"Vbg";249;2020-03-22 04:30:00
"W";367;2020-03-22 04:30:00
"Bgld";54;2020-03-22 04:45:00
"Ktn";98;2020-03-22 04:45:00
"NÖ";422;2020-03-22 04:45:00
"OÖ";606;2020-03-22 04:45:00
"Sbg";209;2020-03-22 04:45:00
"Stmk";393;2020-03-22 04:45:00
"T";626;2020-03-22 04:45:00
"Vbg";249;2020-03-22 04:45:00
"W";367;2020-03-22 04:45:00
"Bgld";54;2020-03-22 05:00:00
"Ktn";98;2020-03-22 05:00:00
"NÖ";422;2020-03-22 05:00:00
"OÖ";606;2020-03-22 05:00:00
"Sbg";209;2020-03-22 05:00:00
"Stmk";393;2020-03-22 05:00:00
"T";626;2020-03-22 05:00:00
"Vbg";249;2020-03-22 05:00:00
"W";367;2020-03-22 05:00:00
"Bgld";54;2020-03-22 05:15:00
"Ktn";98;2020-03-22 05:15:00
"NÖ";422;2020-03-22 05:15:00
"OÖ";606;2020-03-22 05:15:00
"Sbg";209;2020-03-22 05:15:00
"Stmk";393;2020-03-22 05:15:00
"T";626;2020-03-22 05:15:00
"Vbg";249;2020-03-22 05:15:00
"W";367;2020-03-22 05:15:00
"Bgld";54;2020-03-22 05:30:00
"Ktn";98;2020-03-22 05:30:00
"NÖ";422;2020-03-22 05:30:00
"OÖ";606;2020-03-22 05:30:00
"Sbg";209;2020-03-22 05:30:00
"Stmk";393;2020-03-22 05:30:00
"T";626;2020-03-22 05:30:00
"Vbg";249;2020-03-22 05:30:00
"W";367;2020-03-22 05:30:00
"Bgld";54;2020-03-22 05:45:00
"Ktn";98;2020-03-22 05:45:00
"NÖ";422;2020-03-22 05:45:00
"OÖ";606;2020-03-22 05:45:00
"Sbg";209;2020-03-22 05:45:00
"Stmk";393;2020-03-22 05:45:00
"T";626;2020-03-22 05:45:00
"Vbg";249;2020-03-22 05:45:00
"W";367;2020-03-22 05:45:00
"Bgld";54;2020-03-22 06:00:00
"Ktn";98;2020-03-22 06:00:00
"NÖ";422;2020-03-22 06:00:00
"OÖ";606;2020-03-22 06:00:00
"Sbg";209;2020-03-22 06:00:00
"Stmk";393;2020-03-22 06:00:00
"T";626;2020-03-22 06:00:00
"Vbg";249;2020-03-22 06:00:00
"W";367;2020-03-22 06:00:00
"Bgld";54;2020-03-22 06:15:00
"Ktn";98;2020-03-22 06:15:00
"NÖ";422;2020-03-22 06:15:00
"OÖ";606;2020-03-22 06:15:00
"Sbg";209;2020-03-22 06:15:00
"Stmk";393;2020-03-22 06:15:00
"T";626;2020-03-22 06:15:00
"Vbg";249;2020-03-22 06:15:00
"W";367;2020-03-22 06:15:00
"Bgld";54;2020-03-22 06:30:00
"Ktn";98;2020-03-22 06:30:00
"NÖ";422;2020-03-22 06:30:00
"OÖ";606;2020-03-22 06:30:00
"Sbg";209;2020-03-22 06:30:00
"Stmk";393;2020-03-22 06:30:00
"T";626;2020-03-22 06:30:00
"Vbg";249;2020-03-22 06:30:00
"W";367;2020-03-22 06:30:00
"Bgld";54;2020-03-22 06:45:00
"Ktn";98;2020-03-22 06:45:00
"NÖ";422;2020-03-22 06:45:00
"OÖ";606;2020-03-22 06:45:00
"Sbg";209;2020-03-22 06:45:00
"Stmk";393;2020-03-22 06:45:00
"T";626;2020-03-22 06:45:00
"Vbg";249;2020-03-22 06:45:00
"W";367;2020-03-22 06:45:00
"Bgld";54;2020-03-22 07:00:00
"Ktn";98;2020-03-22 07:00:00
"NÖ";422;2020-03-22 07:00:00
"OÖ";606;2020-03-22 07:00:00
"Sbg";209;2020-03-22 07:00:00
"Stmk";393;2020-03-22 07:00:00
"T";626;2020-03-22 07:00:00
"Vbg";249;2020-03-22 07:00:00
"W";367;2020-03-22 07:00:00
"Bgld";54;2020-03-22 07:15:00
"Ktn";98;2020-03-22 07:15:00
"NÖ";422;2020-03-22 07:15:00
"OÖ";606;2020-03-22 07:15:00
"Sbg";209;2020-03-22 07:15:00
"Stmk";393;2020-03-22 07:15:00
"T";626;2020-03-22 07:15:00
"Vbg";249;2020-03-22 07:15:00
"W";367;2020-03-22 07:15:00
"Bgld";54;2020-03-22 07:30:00
"Ktn";98;2020-03-22 07:30:00
"NÖ";422;2020-03-22 07:30:00
"OÖ";606;2020-03-22 07:30:00
"Sbg";209;2020-03-22 07:30:00
"Stmk";393;2020-03-22 07:30:00
"T";626;2020-03-22 07:30:00
"Vbg";249;2020-03-22 07:30:00
"W";369;2020-03-22 07:30:00
"Bgld";54;2020-03-22 07:45:00
"Ktn";98;2020-03-22 07:45:00
"NÖ";422;2020-03-22 07:45:00
"OÖ";606;2020-03-22 07:45:00
"Sbg";209;2020-03-22 07:45:00
"Stmk";393;2020-03-22 07:45:00
"T";626;2020-03-22 07:45:00
"Vbg";249;2020-03-22 07:45:00
"W";370;2020-03-22 07:45:00
"Bgld";54;2020-03-22 08:00:00
"Ktn";98;2020-03-22 08:00:00
"NÖ";422;2020-03-22 08:00:00
"OÖ";606;2020-03-22 08:00:00
"Sbg";209;2020-03-22 08:00:00
"Stmk";393;2020-03-22 08:00:00
"T";626;2020-03-22 08:00:00
"Vbg";249;2020-03-22 08:00:00
"W";370;2020-03-22 08:00:00
"Bgld";54;2020-03-22 08:15:00
"Ktn";98;2020-03-22 08:15:00
"NÖ";422;2020-03-22 08:15:00
"OÖ";606;2020-03-22 08:15:00
"Sbg";209;2020-03-22 08:15:00
"Stmk";393;2020-03-22 08:15:00
"T";626;2020-03-22 08:15:00
"Vbg";249;2020-03-22 08:15:00
"W";371;2020-03-22 08:15:00
"Bgld";54;2020-03-22 08:30:00
"Ktn";98;2020-03-22 08:30:00
"NÖ";422;2020-03-22 08:30:00
"OÖ";605;2020-03-22 08:30:00
"Sbg";209;2020-03-22 08:30:00
"Stmk";393;2020-03-22 08:30:00
"T";626;2020-03-22 08:30:00
"Vbg";249;2020-03-22 08:30:00
"W";372;2020-03-22 08:30:00
"Bgld";54;2020-03-22 08:45:00
"Ktn";98;2020-03-22 08:45:00
"NÖ";422;2020-03-22 08:45:00
"OÖ";605;2020-03-22 08:45:00
"Sbg";209;2020-03-22 08:45:00
"Stmk";393;2020-03-22 08:45:00
"T";626;2020-03-22 08:45:00
"Vbg";249;2020-03-22 08:45:00
"W";373;2020-03-22 08:45:00
"Bgld";55;2020-03-22 09:00:00
"Ktn";98;2020-03-22 09:00:00
"NÖ";422;2020-03-22 09:00:00
"OÖ";605;2020-03-22 09:00:00
"Sbg";209;2020-03-22 09:00:00
"Stmk";393;2020-03-22 09:00:00
"T";626;2020-03-22 09:00:00
"Vbg";249;2020-03-22 09:00:00
"W";380;2020-03-22 09:00:00
"Bgld";55;2020-03-22 09:15:00
"Ktn";98;2020-03-22 09:15:00
"NÖ";425;2020-03-22 09:15:00
"OÖ";605;2020-03-22 09:15:00
"Sbg";209;2020-03-22 09:15:00
"Stmk";395;2020-03-22 09:15:00
"T";626;2020-03-22 09:15:00
"Vbg";249;2020-03-22 09:15:00
"W";385;2020-03-22 09:15:00
"Bgld";55;2020-03-22 09:30:00
"Ktn";98;2020-03-22 09:30:00
"NÖ";433;2020-03-22 09:30:00
"OÖ";605;2020-03-22 09:30:00
"Sbg";209;2020-03-22 09:30:00
"Stmk";399;2020-03-22 09:30:00
"T";626;2020-03-22 09:30:00
"Vbg";250;2020-03-22 09:30:00
"W";387;2020-03-22 09:30:00
"Bgld";55;2020-03-22 09:45:00
"Ktn";98;2020-03-22 09:45:00
"NÖ";434;2020-03-22 09:45:00
"OÖ";605;2020-03-22 09:45:00
"Sbg";209;2020-03-22 09:45:00
"Stmk";406;2020-03-22 09:45:00
"T";626;2020-03-22 09:45:00
"Vbg";250;2020-03-22 09:45:00
"W";387;2020-03-22 09:45:00
"Bgld";55;2020-03-22 10:00:00
"Ktn";101;2020-03-22 10:00:00
"NÖ";434;2020-03-22 10:00:00
"OÖ";605;2020-03-22 10:00:00
"Sbg";209;2020-03-22 10:00:00
"Stmk";411;2020-03-22 10:00:00
"T";626;2020-03-22 10:00:00
"Vbg";250;2020-03-22 10:00:00
"W";387;2020-03-22 10:00:00
"Bgld";55;2020-03-22 10:15:00
"Ktn";101;2020-03-22 10:15:00
"NÖ";434;2020-03-22 10:15:00
"OÖ";606;2020-03-22 10:15:00
"Sbg";246;2020-03-22 10:15:00
"Stmk";414;2020-03-22 10:15:00
"T";626;2020-03-22 10:15:00
"Vbg";250;2020-03-22 10:15:00
"W";387;2020-03-22 10:15:00
"Bgld";55;2020-03-22 10:30:00
"Ktn";101;2020-03-22 10:30:00
"NÖ";434;2020-03-22 10:30:00
"OÖ";606;2020-03-22 10:30:00
"Sbg";246;2020-03-22 10:30:00
"Stmk";417;2020-03-22 10:30:00
"T";626;2020-03-22 10:30:00
"Vbg";250;2020-03-22 10:30:00
"W";387;2020-03-22 10:30:00
"Bgld";55;2020-03-22 10:45:00
"Ktn";101;2020-03-22 10:45:00
"NÖ";433;2020-03-22 10:45:00
"OÖ";606;2020-03-22 10:45:00
"Sbg";246;2020-03-22 10:45:00
"Stmk";418;2020-03-22 10:45:00
"T";626;2020-03-22 10:45:00
"Vbg";250;2020-03-22 10:45:00
"W";388;2020-03-22 10:45:00
"Bgld";55;2020-03-22 11:00:00
"Ktn";101;2020-03-22 11:00:00
