"erkrankungen";"hospitalisiert";"intensivstation";"nr_tests";"date"
5163;211;24;NA;2020-03-24 19:45:00
5182;211;24;NA;2020-03-24 20:00:00
5194;211;24;NA;2020-03-24 20:15:00
5233;211;24;NA;2020-03-24 20:30:00
5237;211;24;NA;2020-03-24 20:45:00
5238;211;24;NA;2020-03-24 21:00:00
5243;211;24;NA;2020-03-24 21:15:00
5243;211;24;NA;2020-03-24 21:30:00
5243;211;24;NA;2020-03-24 21:45:00
5243;211;24;NA;2020-03-24 22:00:00
5248;211;24;NA;2020-03-24 22:15:00
5264;211;24;NA;2020-03-24 22:30:00
5264;211;24;NA;2020-03-24 22:45:00
5264;211;24;NA;2020-03-24 23:00:00
5264;211;24;NA;2020-03-24 23:15:00
5264;211;24;NA;2020-03-24 23:30:00
5264;211;24;NA;2020-03-24 23:45:00
5264;211;24;NA;2020-03-25 00:00:00
5264;211;24;NA;2020-03-25 00:15:00
5264;211;24;NA;2020-03-25 00:30:00
5264;211;24;NA;2020-03-25 00:45:00
5264;211;24;NA;2020-03-25 01:00:00
5264;211;24;NA;2020-03-25 01:15:00
5264;211;24;NA;2020-03-25 01:30:00
5264;211;24;NA;2020-03-25 01:45:00
5264;211;24;NA;2020-03-25 02:00:00
5264;211;24;NA;2020-03-25 02:15:00
5264;211;24;NA;2020-03-25 02:30:00
5264;211;24;NA;2020-03-25 02:45:00
5264;211;24;NA;2020-03-25 03:00:00
5264;211;24;NA;2020-03-25 03:15:00
5264;211;24;NA;2020-03-25 03:30:00
5264;211;24;NA;2020-03-25 03:45:00
5264;211;24;NA;2020-03-25 04:00:00
5264;211;24;NA;2020-03-25 04:15:00
5264;211;24;NA;2020-03-25 04:30:00
5264;211;24;NA;2020-03-25 04:45:00
5264;211;24;NA;2020-03-25 05:00:00
5264;211;24;NA;2020-03-25 05:15:00
5264;211;24;NA;2020-03-25 05:30:00
5264;211;24;NA;2020-03-25 05:45:00
5264;211;24;NA;2020-03-25 06:00:00
5264;211;24;NA;2020-03-25 06:15:00
5265;211;24;NA;2020-03-25 06:30:00
5265;211;24;NA;2020-03-25 06:45:00
5265;211;24;NA;2020-03-25 07:00:00
5266;212;26;NA;2020-03-25 07:15:00
5269;213;26;NA;2020-03-25 07:30:00
5273;213;26;NA;2020-03-25 07:45:00
5282;213;26;NA;2020-03-25 08:00:00
5288;214;26;NA;2020-03-25 08:15:00
5315;219;26;NA;2020-03-25 08:30:00
5368;223;26;NA;2020-03-25 08:45:00
5394;227;26;NA;2020-03-25 09:00:00
5418;227;26;NA;2020-03-25 09:15:00
5427;227;26;NA;2020-03-25 09:30:00
5448;227;26;NA;2020-03-25 09:45:00
5462;227;26;NA;2020-03-25 10:00:00
5469;227;26;NA;2020-03-25 10:15:00
5480;225;26;NA;2020-03-25 10:30:00
5485;226;26;NA;2020-03-25 10:45:00
5485;228;26;NA;2020-03-25 11:00:00
5494;229;26;NA;2020-03-25 11:15:00
5495;231;26;NA;2020-03-25 11:30:00
5496;231;26;NA;2020-03-25 11:45:00
5499;231;26;NA;2020-03-25 12:00:00
5495;233;26;NA;2020-03-25 12:15:00
5510;234;26;NA;2020-03-25 12:30:00
5512;235;26;NA;2020-03-25 12:45:00
5513;236;26;NA;2020-03-25 13:00:00
5514;237;26;NA;2020-03-25 13:15:00
5513;238;26;NA;2020-03-25 13:30:00
5516;237;26;NA;2020-03-25 13:45:00
5519;240;27;NA;2020-03-25 14:00:00
5526;242;27;NA;2020-03-25 14:15:00
5560;242;28;NA;2020-03-25 14:30:00
5577;244;28;NA;2020-03-25 14:45:00
5588;247;28;NA;2020-03-25 15:00:00
5592;249;28;NA;2020-03-25 15:15:00
5606;250;28;NA;2020-03-25 15:30:00
6672;547;96;NA;2020-03-26 17:22:58
6703;547;96;NA;2020-03-26 18:00:00
6816;547;96;NA;2020-03-26 19:00:00
6847;547;96;NA;2020-03-26 20:00:00
6856;547;96;NA;2020-03-26 21:00:00
6865;547;96;NA;2020-03-26 22:00:00
6898;547;96;NA;2020-03-26 23:00:00
6909;547;96;NA;2020-03-27 00:00:00
6909;547;96;NA;2020-03-27 01:00:00
6909;547;96;NA;2020-03-27 02:00:00
6909;547;96;NA;2020-03-27 03:00:00
6909;547;96;NA;2020-03-27 04:00:00
6909;547;96;NA;2020-03-27 05:00:00
6909;547;96;NA;2020-03-27 06:00:00
6917;547;96;NA;2020-03-27 07:00:00
6962;547;96;NA;2020-03-27 08:00:00
7029;702;110;NA;2020-03-27 09:00:00
7129;702;110;NA;2020-03-27 10:00:00
7196;672;128;NA;2020-03-27 11:00:00
7269;672;128;NA;2020-03-27 12:00:00
7317;672;128;NA;2020-03-27 13:00:00
7393;672;128;NA;2020-03-27 14:00:00
